"HolderAddress","Balance","PendingBalanceUpdate"
"0x005a945c426fe1f2eb3c4b04585a2427f7a032a8","9.4E-17","No"
"0x01f29b774bd562b5518bc259b42896807cc5815f","8.963614E-12","No"
"0x024d37ae44d299b9cef36d348232a66801c3a25a","9.766E-15","No"
"0x03f44e71f1cb9afa185535581f4eee5313e85a0a","8.95E-16","No"
"0x0448e99ab5f8230713a9f5d7e64ec2ab6e5952a3","4.22890604E-10","Yes"
"0x0467ebfd1859f4f5e62b7119e91335845f630f37","6.75877E-13","No"
"0x06c15a425f90c7cdc8f697d9ff5f1117207b96b1","7E-18","No"
"0x073fcebbd2d59b894ead0f21d95120fde5218a60","8.1E-17","No"
"0x078b6495cdf19ba3f9f8f1938c638b6993e9fb63","6E-16","No"
"0x07a9bce5d1228eb933cbb69462e970f0142d521b","1E-18","No"
"0x0aea30a6dff0208d8a7592699d9fbd38fea4ba0f","6E-18","No"
"0x0d079d2c81b5fa67191f6d3166e269b079f72057","7.184E-13","No"
"0x0d95918633826b963920a10c6ed9db4b2a7420e3","7.3E-17","No"
"0x0e59bbf812afcde9c4d27cfc80738316e205a4ce","9.9536E-14","No"
"0x1026df41a10bb5057d4f08261d907893f2d5f78b","8.12E-16","No"
"0x11178a0e6f92b6c0a7009ec46a1b65641dcc9725","7.7E-16","No"
"0x11f425e8b37eaf07acead202b14c052faac476d1","3.8E-17","No"
"0x13c4bd637c5bace50419309e15ef4ce671889779","2.4E-16","No"
"0x14a0947b8fbebe53ad5ef8c5f80f14adbc559d53","4.3E-17","No"
"0x14f40f087634b5a987845dcfb4ffc075f3c0e8de","3.328675E-12","No"
"0x153e1f0fc7c2c8404a6e511d1c4d0734aed90f31","0","Yes"
"0x15a533a6673bed1cc599e3cd2fe0604a3154353d","4.1532E-14","No"
"0x1993253bf4f1dfdcd0258a324bff554e6a44a385","2.0189878E-11","No"
"0x1bc2dbb8c4d04aacf4a7fefcdb060766964b5237","1.741E-15","No"
"0x1bec4f239f1ec11fd8dc7b31a8fea7a5ba5a9aa4","8.83E-16","No"
"0x1c440cdf62e7e64f0377ac4d003f641ffaac40e4","3.7E-17","No"
"0x1d3f9bdd621ac1ce31a4683c0f1c9e9fc7014b16","2.716E-15","No"
"0x1dd52bf2a40d77b75914ae9f15fb9eb2f3ab2fe6","2.828717E-12","No"
"0x1e6dfc5287c5357d55bf897d5b57481cf645cbf4","8.3E-17","No"
"0x231ba75d141a6f65fcb21bd23bbf63cf7992974f","2.0978E-14","No"
"0x23ac0252de36205632db7630aac8d57c844ca6fd","2.5212E-14","No"
"0x24268910dcc127b38199374490ebbd16967e9bad","5.6647E-14","No"
"0x24aaadb282357b540fdfcc0dc8a9ae970b23de4e","4.18E-16","No"
"0x27f638a6c64e9cace6715539c810fbb8276f57a5","2.121E-15","No"
"0x2846d0a0efabd96bbcf50443fbc453e7ba161daa","1E-18","No"
"0x28bacb0151f3b934ea22e55a23b97709d0cb615c","1E-18","No"
"0x2949d0157ef65a9226a4a0e0cfd0ac52433520d9","8E-18","No"
"0x29a6520a99656e5b17a34471d5d458efd3696695","3.93E-16","No"
"0x29aec2e84d9f5aa21d423ddb80e400cae1a49d48","6.6369E-14","No"
"0x2a2036fcf77491a980c0197baf33c785937db6f4","6.9E-17","No"
"0x2a51996702ff7ca3d3181e7fa15cc0b8915ab015","3.271246E-12","No"
"0x2beb35a7939deb968a3ebda08b0267af2133ece3","1.9E-17","No"
"0x2d6e6f4b6c07f71f6ed20fb3b438c39bfb821476","1E-18","No"
"0x2eb54a752b8ac4eaba036b4e7c1459498c6c2d72","3.90986E-13","No"
"0x30412ffa1e2134be69df48238ea0186123be21d1","4.76E-16","No"
"0x3045e2ac28c658304d74da74501d8abad18b4448","7.7234E-14","No"
"0x321f011917e384e43e5e85b8d6f4a56dcdfe31e8","9.4E-17","No"
"0x349793f3ed7b3f09e166cd3625858ee632cc7cbd","1E-18","No"
"0x353807396aa42b7fea5a98d1da7cebcdd6e0406a","9E-17","No"
"0x35da61143072716e9ca1dc688e9b04145314e8d1","4.81E-16","No"
"0x3723fa9478de869832da04a07a828339d2504cc4","8.9E-17","No"
"0x383646d4efb48fff618695cdb1ddd544882fcb0f","7.66E-16","No"
"0x3853e833ab86a687a5ec5cb56933ae45a6242f20","9.1E-17","No"
"0x38eb48d95ea8ac3673229fc5d53c3a54c96706b0","1.84E-16","No"
"0x3a09057f7daa57bb08c9a90a64b900da1ac202d7","6.876E-14","No"
"0x3a1e40eeb000892e4643bcbb8eaf46482cb610ed","5.5198E-14","No"
"0x3ad6a4947630fbe46ebc64ba946e6d78f9332db7","8.65E-16","No"
"0x3b41526e92dd519f93addd44172402cff17089b4","6.08592E-13","No"
"0x3bf69f6aab47ebdf93ada109755e562a27f731ee","1E-18","No"
"0x3d4d2db1ddfcf32b202a172cd8112e3034beffe6","2.4733E-14","No"
"0x3e1979022a5c53c808985831d7495f14a282d66a","4.8E-17","No"
"0x3e6f8b4cd3a68d53c7c703e59edd00466158460f","1.9063579E-11","No"
"0x3f7c10cbbb1ea1046a80b738b9eaf3217410c7f6","5.5E-17","No"
"0x40658f898373c3cbd07e73a512faaeeb1bab0d43","1E-18","No"
"0x41e3392e4194e921e19c1f23e4dc61f2bd85cc91","1E-18","No"
"0x42ba0a0a740900ee0b9b5aa822bb1d84e0c1df42","1E-18","No"
"0x432963a481e1aa7f09e9ea878d4a596eee6eb63b","7.805208E-12","No"
"0x43b09f1ff7cc5713f4645fa947adb086e7da6c07","8.579E-15","No"
"0x443afe41aa82c971889a88047199a0edb0abf1ec","3.3E-17","No"
"0x44d392d79d799a3dde35a0f621448ac52c266703","6.1689E-14","No"
"0x451248229712d6f207ff9466d8d3a33cb59d103c","1.024346E-12","No"
"0x4527cccfe2075ca697882be1cf11f854a0e2f3d4","4.1E-16","No"
"0x45eda9d8104ede55ae79860e3e79119c56fe2e8a","3.4138E-14","No"
"0x48aca70a21d9ca2d924ed2adfd1ef263f936e305","3.1E-17","No"
"0x494bd3405cdbb47ae022751ce90ce694c5fdd176","5.3403E-13","No"
"0x4ac30ce621fba04c178cfda9140deca1533de5f8","3.430088E-12","No"
"0x4ad58595e901f538163b434d182fccbfd5aac820","2E-18","No"
"0x4ba8d89a72cc295b0bf07dcdafe1d11fea3f398f","4.176E-15","No"
"0x4c7a992f0fab3d39f586e06dbee3f925de147d74","8.1E-17","No"
"0x4c8fb973e75ddda03ecad8792bce9ed1e9969e52","7.655748E-12","No"
"0x4ef7a7c9036e1f324f9cd83efa5b3ad94f27f4d1","1E-18","No"
"0x51dd757895adacba3a4635b6a8154ba4aaec7004","2.9801E-13","No"
"0x520c6d10cc7582cb7359dd78c406e86e04db6ad6","1.68182E-13","No"
"0x5275817b74021e97c980e95ede6bbac0d0d6f3a2","4.37E-16","No"
"0x55143c0ea4dbd014ba053f3dee48ab6d21c25abf","3.38486E-13","No"
"0x55333376afbef484042d0df70f6fbc03d49dbba6","3.52E-16","No"
"0x557782aae7c8ac007efdf765f85cf838f1ff690d","9.356578E-12","No"
"0x5890efb07d3900ff15f353b72fddc48759356290","1.101454E-12","No"
"0x589d3c1bc57b125a9226bc63fdf4f49a9353da79","1E-13","No"
"0x59b13ca9b0237b4999ac21f364630af67d440589","9.5E-17","No"
"0x5a09edfcc6f4aa80ef9c996521b1a33650bf4c81","9.3E-17","No"
"0x5a3d5c2d396d0388dff18ce1999ecaf4240f5820","3E-18","No"
"0x5aba3742794cbccadb6e7ed6ea0c8e9bfd773fb6","7E-17","No"
"0x5b60146c6232a833aed2e47f64b5dab3bbb93ddb","3.98E-16","No"
"0x5c107bf9c544f68a8ff7bb4d007de89a379392ba","1.6089E-14","No"
"0x5c1a7cb08b521a0bdce91f0bf88fd14ec380f133","2.677E-15","No"
"0x5c351737b5e35a0d7ab7e0f680dd204380bd9aea","2.35303E-13","No"
"0x5cb5c52bf1e7ab1d3b8a79acd26e252ee04b8177","7.465E-15","No"
"0x5d77db66b628a4d9c9404cc02c6eb5e06e00a335","1E-18","No"
"0x5e11f12c41c58c90b709e28cc0a6d7cdd4ae2455","7.855E-15","No"
"0x60446978dfbd2aa78172fce6482829df4a70378e","8E-18","No"
"0x629e4a0431398767faa38399d79f3da7db9a7f22","1E-18","No"
"0x633efa52792217d1e18372a1b4aa9d75d4f8ba67","2E-18","No"
"0x642ae1c24c8a8cd1fd82270fdb0df5dcf8e17566","2.94E-16","No"
"0x649ac50f4fcda46c5a54421a475d4e4da0caf531","1.489676E-12","No"
"0x660b4ac6c45d8d710d14735b005835754bbbafb8","6.43E-16","No"
"0x66b974b56eee188f9580dda3b5976a510bcd7fc9","9E-18","No"
"0x67e06730c124b0f6616a4a28e8aadcbacdca90e3","8.15E-16","No"
"0x68369a6bb5c429696bf91c4fe134c0abc48d6bb6","7.1631628E-11","No"
"0x6860aefc5f684dc757908de2fb624b44982134a2","8.448E-15","No"
"0x68ac04c9f779efe128fe5384754be7a34e70c973","7E-18","No"
"0x6914ba1c49d3c3f32a9e65a0661d7656cb292e9f","3.31582E-13","No"
"0x69ab4c8155792d8c86083e0f07d039e38f5ffa7f","7.95E-16","No"
"0x6b5d2ddeeee7f35790d19888283708b739f99730","2.1381E-14","No"
"0x6b62e3d14992c702f136a84c95ee60b86fe82200","2.07E-16","No"
"0x6c608cf3e2ddb746763001a7ff6e9b29a3bcc3c0","1E-14","No"
"0x6cd821bb399658d19ac4b133bc1a40ce48f39869","6.34E-16","No"
"0x6cdcaf5f2c1edbf136c45ed2df5f14fd41531de2","1E-18","No"
"0x6d7ff3fb44cffd46915859b06518ce147bf160c9","6.6E-17","No"
