"HolderAddress","Balance","PendingBalanceUpdate"
"0xf952c24679a4afa8600ca2190527def04eba9a58","1.346086E-11","No"
"0x9906589ea8fd27504974b7e8201df5bbde986b03","2.51734171993E-07","No"
"0xb772e54d058e7948063e5d744af4e660448d339b","6.103E-15","No"
"0x7b89603d38e6d9ef01dd064563f06e58a91df86e","1.422E-15","No"
"0x704dbc9b92c5822ab4807eb47adc0c71a965ab48","4.45E-16","No"
"0x633efa52792217d1e18372a1b4aa9d75d4f8ba67","5.88E-16","No"
"0x9382254b52b4ea489eda7c66372bb075c9901209","8.117E-15","No"
"0x03a803233bb2be0d19f2f2c9bb0feb441fe9d9e3","8.916E-15","No"
"0x541a9ffe0a907767c5e889c54ecb0ea350651688","1.49E-16","No"
"0xcdddcf576e2018ea8d22461137a8f1bf9ab4f8c1","3.782E-15","No"
"0xaf61a9f5db6aec018f08c3a2dec8437d4a5e5825","9.22E-16","No"
"0x460eebde20336aa615370f4b7b7a916e5656d4e6","4.461E-15","No"
"0x1567225a2c3d3f181a1ccafabfbd5b0f37a4a2ec","6.37708E-13","No"
"0xde78c4e72fa2b91ad993b341b36a44c9aeb51225","8E-18","No"
"0xcfc372cf95add50420fd9a018a019b07ea76979c","6.58543492E-10","No"
"0x515ed2e17413280f4e9d94d62d796ca52c77e6fc","1.81E-16","No"
"0x06466f9ac08e872064950cec3812b57d6feafa7f","1.361401E-12","No"
"0xa00b0540f43e00a634d016a31b0a39d95170e6bf","7.32865E-13","No"
"0x4a91bb962c337eb2eee20d7d4bf6dcb8f808f31a","4.64409E-13","No"
"0xc26efa8199105d317ad00a2e90bc5ea445a3cf5f","8.79E-16","No"
"0x049e61af713f96f51866b04056488e4c659c2ad7","1.08675E-13","No"
"0x1774d24073bbeadc9638008cb32c9b7e88573c5f","8E-18","No"
"0x9528bbce01e5eccd39f77ff26c011d4b690263c0","9.9E-17","No"
"0x7df4f897041349e1dc0b5f9512c693a7e1736f7c","4.44E-16","No"
"0xa0c5c335ecf2db900e8365e402206a6cc33b70bb","3.68188E-13","No"
"0xead883e02a6222778abdf6147abd719039420128","1.498E-15","No"
"0x603b3e3416a99a00f43a88474334e7767e3efe34","8.661547E-12","No"
"0xd268961e2e5e17398f84784fdbdc411d0862de86","3E-18","No"
"0x4ff899ef6b635efae9d2f58fd695c795c1bd3934","6.172E-15","No"
"0xd5c196b5b67e624738d85ab5a98534e68fd2c88e","2E-18","No"
"0x2150405c5dbc9d31a145dd1351ecfd3fe624a061","1.97473E-12","No"
"0x50f461f471e7dce973e27f0e319ebe868135d764","1.974477E-12","No"
"0xf0f09d97232938490a869040d8d1732ba308c726","5E-18","No"
"0x4ea77424da100ac856ece3ddfabd8b528570ca0d","2.303204E-12","No"
"0x70bfa1c8ab4e42b9be74f65941efb6e5308148c7","6.63E-16","No"
"0xf9e694c4b7083d2a9ec88d40be561e983912660c","2.6570538E-11","No"
"0x0c79a990919d338f8e4f454a21c24a5ae6e281fb","8.195E-15","No"
"0xf746e5c35d233b68e17769485c2fd31a97922c6b","9E-18","No"
"0xdc9ee119bbb122176e3c1c4b6a4debc07077681d","5E-18","No"
"0x69ab4c8155792d8c86083e0f07d039e38f5ffa7f","1.925022E-12","No"
"0xce6aac661e621aa3fa0e57c63232d168cba7902d","2.691172E-12","No"
"0xa364ede5590b46e618527d7535506743d978bbf2","4.3212277013E-08","No"
"0x9c71787c5b5885e11f74af7e5dc1324e87375a95","1.159177E-12","No"
"0x23af7289f6bd6a85b8332e0b79148d1b6b64616b","6E-11","No"
"0x4e8ef8cf0a0790d6876e14c44299750658ae55ee","4.702E-15","No"
"0x1baf86b552145280117cda1d3bd44405c2f0d075","4.7398446E-11","No"
"0x98c394bbe49681e49beb2be4870c65f3bcd32f2e","3.52E-16","No"
"0x133fbc9368ad9b8a5aa72f5a55d6b7f2547ffd47","9E-18","No"
"0x443afe41aa82c971889a88047199a0edb0abf1ec","4.839E-15","No"
"0x8c774d1e374c08bbdbd5515cd6b063d0e5cc110a","1.694781E-12","No"
"0x1e81eed69c5357713084c96d88c1c4c413de6e7e","9E-18","No"
"0x605bfda9405ee75c5f398a47c86ab981dc60c35d","2.53E-16","No"
"0x35a9984d4acf1425712e4ecc61cfe39e3257aae4","4.7759E-14","No"
"0x1aaf5e41c2c73617bc120097547a3410caf6718a","3.57367341E-10","No"
"0x0689b5e6ffc85d89f4521129dfe06551d4dc9e2e","4.331E-14","No"
"0x67f79a36986eb5c16c4de4871965638dd021568f","1.63809E-13","No"
"0xd337fb401735a08a5203f1d6ec6d9b53af4b7e3f","4.34985E-13","No"
"0x2bf76ced5366bd385b826b754bf84033557b166f","3.9E-17","No"
"0x4418b66ee70ea53740906a34f57a16441dcbc98f","6E-18","No"
"0x9857dfdc7a061740f5b62939808062617cd786ea","8.052E-15","No"
"0x48430d26f88a62f4c2a05a431fcd5b2ccfc707ce","1E-18","No"
"0xb1f943c274cd6de2feb91ef7827edda91e185e27","2.897E-15","No"
"0x1ca51634120d3f7c9d4de76c3c908e38775501ad","9.92194E-13","No"
"0x783e9e1d6aa973d8e58ad787cc12c56127c6f9ef","2E-18","No"
"0x5bf9f65f90d05503a6af2eda3ff25f8425852537","5.04E-16","No"
"0x511efdf1b944d1fcd36c645b7540ce8d004a310d","4.685961E-12","No"
"0xa0e9de16e6fdf1271d14e407fd4ac5b2e33dda9a","1E-13","No"
"0x0caa30b7a830283794817dee2e7e7cf3bcb060a3","1E-18","No"
"0x5a0078bfcdfd054ec8bfa2149445f841a4ef0b77","3.133E-15","No"
"0x97c4509ab8e70f2ca91a95a82bd67e857cb02da2","6.4556E-14","No"
"0x131ce98dc7739b6961e2f3e02233bc17549ba514","1E-18","No"
"0x4d8bede0ea8f07f53e0d9ea8fb7c67cf221f9f4a","1.3E-17","No"
"0xe0b714122698be0477ea183847496901a16120e0","3.772081E-12","No"
"0x516852de9284eabee1a175cf452380cb346a5919","4E-18","No"
"0x07a6fa81ee697f3fa402b80deaf206bdd128471b","2.8504E-14","No"
"0x6ca3484ce2b0979db397c2698f41555d68871c7e","1.77E-16","No"
"0x4bf4bf9f11545bd15aafcb6e654242de54a8b13c","4.7881E-14","No"
"0xd676432a77cfe7bbf5a048e375557cc18e295ae7","1.689586E-12","No"
"0x20a442dda319803f7849f9f2869eed317e2a89cc","5E-18","No"
"0x9d59abb8580dfcabbf55096e9b7621ac53d7ea47","2E-18","No"
"0x55593ba3d98c807fb731642bf913f7aaf5174e73","5.07E-16","No"
"0x2acc3dc600b13daf1f79be6c4026e4638fbe05e4","5E-13","No"
"0x9a23a61a8988faa730a1af09ead45a993d7f5f3c","1.7206071E-11","No"
"0xd9220628480f074fe8d1d9a493c0369e6c4fef0a","4.949563E-12","No"
"0x5210674b7c6ecd2041758211a6b7692a23672f1f","4.99983E-13","No"
"0x0392303129330b245faf37f45bdc8ea51fd56533","1.511742E-12","No"
"0xe786c0aee7f4348ee05a0734b2ec44ac71b812be","1E-18","No"
"0x6ed73292c49a8a5e6ac4913ff333fb2134242d2f","1E-18","No"
"0x50759c1b1a6d236c5aafb689aa8427ebe4544224","2.10290204E-10","No"
"0x88888888939891df63fb392baa43d5daacefd828","1E-18","No"
"0x1a672568018da2f29f1f1dbcf50476182ceb3ed0","5.0275E-14","No"
"0x4388aabf659ba92bba42add03639822085cc5823","5.023119E-12","No"
"0x8403fa6a3edde0691df7e6f23501ad10cad7a7cd","1E-12","No"
"0x4ac123950428e68993ddf73f1ced8f6d54774486","1.509958E-12","No"
"0x751f556a157f8cb70d5f37086664b437f339d914","3.41621E-13","No"
"0x3db180bbf58c42fbc4992f9c13b92ed5e717da1a","5.00929E-13","No"
"0x66b8e68f9e84c717937ff8ba20d2f71d31c4e8c6","1.003469E-12","No"
"0xd9a9ef06c7ed10b50ccbae3dc218bd24d623b686","4.007061E-12","No"
"0x276400e17413eef173b880d66a1964b1b051ed77","5.0248E-14","No"
"0xf20d4640ed807a8d040a69c22a5495ab506b9b22","8.877719E-12","No"
"0x2050673ea96fc580bfe6ab09573c2e276ef591f1","5.1217E-14","No"
"0x3d59a1a7b52ad8b03493a63f20fda716cd260a40","2.00103E-13","No"
"0x8189ca95335af50a0c9490547186008a6d7747da","1E-18","No"
"0x934681fb45fd29207854243119c13bbfc11c9c67","1E-12","No"
"0xc3f5785c9490c67db3b65e143f17a214925ac762","2.6609179E-11","No"
"0x3e97b9e7a8a962ad73fdfee9ce5759132f07cfea","1.51585E-13","No"
"0xb217967c62e1d5d7ccc080db90b78378a1081389","5.002985E-12","No"
"0x897cca377aaf6dd3a492ec43409750c626b3c1b1","5.1596E-14","No"
"0x0c58547adfac191001cf6729276535da6bdb6941","9.72058525E-10","No"
"0x9bf3613b9c1f44f30209723058ae2e58ec5be4e0","7.587E-14","No"
"0x1026df41a10bb5057d4f08261d907893f2d5f78b","6.9246E-14","No"
"0xf98c80e2da481bd21e5158dd68abb290077a7e7b","4.7693E-14","No"
"0x5a6bcb75b849c00fd1c3eff254dac2f4560f1a9d","4.5E-15","No"
"0x530ce4e43855b5fddd9dfeffaedf850b5dda1949","2.24E-16","No"
