"HolderAddress","Balance","PendingBalanceUpdate"
"0x007716cb2bbe9420cd0f254c764e3d692e2a7245","3.2E-06","No"
"0x01270c2ea5f602ea4b23b7e0776dbb5220a7ad99","2E-07","No"
"0x064c14bc6decdd2109c417333b56a6a4bbe5dae1","0.00015473","No"
"0x07b05c4982b5204a51def53ad39462f34971f2ec","5.16318357E-09","No"
"0x0901e77c211a1d214cfcad8be7d88fedf1bdf113","1.49790912747E-07","No"
"0x0959bf8a15b16e027fe2bb90805a21d4fce7e755","4E-08","No"
"0x0b71be4372f5412445d1ae5139e2e6b0b9921ddd","1.83481169474E-07","No"
"0x0bbf91036b886eb9f7b902a5de615b765917aa24","3.035051821538E-06","No"
"0x0be258b653f1d09cd5d7ab20c3889f49b7561ceb","0.99477388034","No"
"0x0ed86dbf0575dbe7eb3c1c989160f0e16ffe4c19","3E-08","No"
"0x12dba2e0f93dbc9beeb0d8eaeb13ce1686dce0a5","1.5185281296E-08","No"
"0x13b95df2ea265ce0aa74dd54e8eb39a7d52b8ee8","2.03322194452E-07","No"
"0x13cfe0a941648b823ef084ab5a43b3b93450cee0","1.2599163251E-07","No"
"0x169833ebb85fbd3cb67eec73ed02f738c0017951","1E-08","No"
"0x18076d0dfb63c4286d8891d0f4064c1fdca23220","6.419067324E-08","No"
"0x18aa9e016aff7268362a1a5394f1892d3870f8ba","6.2902915995E-08","No"
"0x1a8a0e4c0b155192209a1db86fc089fb3d3c1a2d","1.35448E-05","No"
"0x2058433a81f2996b6ef24730c2538abef1391702","1.100046E-12","No"
"0x22cac6a8e7ff5ce7b35c862cdd5a11c288aef142","7.6449096870877E-05","No"
"0x26bed9d758653d3d006ba41bbf3e01f1420fd60e","5.31245153702E-07","No"
"0x2b258c5fa6a6b0bd74a760378d48c03e54ae7261","4E-12","No"
"0x2f8f1ff54a077ce025ab1b8bbf8c1ee572fdd39d","1.1468682505E-08","No"
"0x334c322098f4efa53e4f314770ecd5d5294154aa","5E-08","No"
"0x37e9a16aa50789aadaec77275179aacfb895d73f","4.22666453222E-07","No"
"0x3ad294dfb1b8f5942b7e73ff03b9a69ed185c2c2","4.988273221E-09","No"
"0x3df7fa595b7906623734fae96afa8cdf8933fd80","1.25E-06","No"
"0x3ed68cc51886aae368a7497e8cc6d393534f2def","5.455966939E-09","No"
"0x40796b1ac14b2034f727e7fa6ad8c0bd1b8ad3e1","3.9898689395E-07","No"
"0x41bc82a136df4cd51cf02ebff4fc52624fcaf974","6.38999999999E-07","No"
"0x4294818ab5f6f02ff7b536ce368db2caaedc6026","4.914700591117E-06","No"
"0x459e6103568faaad5645ef272bf38dea50577f50","1.338628839E-09","No"
"0x4618165a3fd19974c7053e849591bdd914873073","2.2518E-05","No"
"0x48e697ea6755c0ac884aa074fd6e2f061691b24a","5.9472361809E-07","No"
"0x4bf266bd7375bff35aa8d86d5f9931b9e406af0d","5.793746588955E-06","No"
"0x4c45c6d2f8ccd5e90802e3caee85af67e89e9f2c","0.00275201089908032","No"
"0x4d1b1b1d42e343f92f73ebd7fdb6c8ebe2499d7c","1.126583263079E-06","No"
"0x4e6181107e090f94e3286c057cc223d488a25ea5","2.50403413055E-06","No"
"0x51028fa5d7fafa30377adad38c162bcc229ce6fa","3E-08","No"
"0x5317d0d6520a5b8d33d72b83a87703ad53a8452c","1.024119392155E-06","No"
"0x549cd48a4169de45f56ff7cb141d6ea8bc900192","6.8138714063E-08","No"
"0x578af94fe28b1c91d7f339f274d5908189dbaa5d","1.75016214894E-06","No"
"0x57f1ff2f460bb358319e649a56e0297295d23fee","6.65149229534E-07","No"
"0x5822e34403e135541effdda58d693de1ce50cf35","3E-08","No"
"0x58966706b8386b53f6125c8b0e2a230109a6c4e3","1.5E-07","No"
"0x5fbc4a0ee028c4e960d1588fd152d1f84c03b470","1.555316220901E-06","No"
"0x62df408d1b4a8c9ffa54991673458fdd0d268f31","8.304769E-12","No"
"0x634baddf0ead53674e1325cc1c4cb0559a3618e3","9.9451962396E-08","No"
"0x637056e269d54aa848ed88c3a7d36dab44cc91f9","7.7560106918E-08","No"
"0x69ab4c8155792d8c86083e0f07d039e38f5ffa7f","1.2496249624962E-05","No"
"0x6dfb0485c18a1858ae1026d0680fbd6df62673ca","2.564036459E-08","No"
"0x6f665cbcdfe963dfd4800177c6e662c974ae0743","2.114474839581E-06","No"
"0x6fb6f59d6be09a398b59ce21fcf130e08642650d","4E-08","No"
"0x701ce2fe77853f0440a5b94d0dcbbfa88b88af3d","1.0236E-05","No"
"0x716948b5aa44445da3ce993516bc3200376ed4d4","2.36580746919E-07","No"
"0x71b45b1f2c5a3dde6cd46522c517b01bb956aeec","4E-08","No"
"0x793d3b9cb9c8954ea91901005210dc6e1563cf61","1.431357816068E-06","No"
"0x7ab2892e2ebae5f7d07e353683578b615f5fbf96","4.926829267E-09","No"
"0x7c0ce5a6365619e84e4b2568e5397a832bac929a","2.971831521E-08","No"
"0x7d8c512953a0d0ae6334a90385db5832acde858c","1.5E-06","No"
"0x7de083be7c264f83b852c67ecf1f1b2aa24dd146","1.94584484054E-07","No"
"0x7e68e3dd05f46a2bc783c362bc73576586fcc90d","2.316374388662E-06","No"
"0x7f451e5ae38647778721f88015e81713c136dc0c","5.6015382583549E-05","No"
"0x8731661be89c5e89178a49b2b01d4d131b6f488d","4E-07","No"
"0x87f6895a57938f1b487fd89191269679f3d7de5c","2.375138598914E-06","No"
"0x8b002321206cf38ab5b3652938f4ec9190f7e333","1.8E-07","No"
"0x8bef358230423b45a68c6f5576969b8459e9f828","1E-08","No"
"0x8cd729db7121ea9ca06a75df819afb8750d1e918","5.65E-06","No"
"0x8faee02aed683c005ba3da75847b99637907452a","1.205753E-12","No"
"0x900c046ee6acfc97f6c0b36c12fc081782eaeeb4","6.980688E-12","No"
"0x91557072deccbe56990d15b0f36df1e9af067859","8.7E-08","No"
"0x91817e31488789acbc4403acba8805b2c68e2e88","3.4166489E-11","No"
"0x918accd16e9ad5a40cf1a430b1ae5bfb2b2553c4","1.6E-07","No"
"0x964e1625ef8fbba0cf9cbd056dde72a68351d327","1.25044433983E-06","No"
"0x98b4c676f0d650853d6ed5c7bf17c3b7564fd6d9","3.2E-07","No"
"0x9aee1f9f0eaa01de1fb149d1f2980ed57d11121d","2.29699884E-09","No"
"0x9c0ba1c2373a4d5974789cc73a18786e007c0e46","6.296E-06","No"
"0x9f6380d92ef17d42724aa3c32a2ebf46ebb20e93","2.535289572263E-06","No"
"0xa22b0b4184e4f2b0f961903774d81f217bf540f5","1.3E-07","No"
"0xa34fac364066c9f4865037cf0ec196b99e1f5e1a","2.44045882866E-07","No"
"0xa5989c693a92f69f24db5c30c8ee541b6e7177b5","6.1744296119E-08","No"
"0xa5b210bb80f819a5418a01dd0b3a7903f2e0088b","7.09153014319E-07","No"
"0xb003b4fe3d468727ade210fa1b7d27466a75f313","1.2768E-05","No"
"0xb5b5dc066e30b21f6fb14a1ddcf8c1a890d4a720","1.44539373881E-07","No"
"0xb87e65d637a1a586209581813fc47676009a34b0","1.36E-05","No"
"0xbc5ccfba849130d2111c4ca1a516d91b1261af8e","7.3583169669E-08","No"
"0xbc6c0f970dd00eff12d4b07d6aaef97a382ec3ab","9.5600211007568E-05","No"
"0xbd389f22d6b78bfc880ab31fefc5ac909a9924d9","1.1179E-05","No"
"0xbd58711251f345647073ecf20d1919a00411121a","3.2400461487E-07","No"
"0xc0c58ed7da3230b73cda294c0e85fd2a08cc1c69","1.40750198034E-07","No"
"0xc10244ccab24f17ab32f72a4a711f1cae21f0d20","2.677800823208E-06","No"
"0xc156c7755fd170820643a70709b47a0b81672531","2.8470613485E-08","No"
"0xc1f0948339fb9e7df4c84d66244e77b752654e19","9.6E-07","No"
"0xc20f53417b7e83cf0c32240291c61439d5b495d8","6.4136E-06","No"
"0xc3bf6a79f64da1598e15566a06a83c676efe2bcf","1.5E-07","No"
"0xc53703a721f83e9c7511306f340989d0526d6ddf","3.8503699315E-08","No"
"0xc79fc1c765724a0142b33cee1cb2fead76056ea1","1.5E-07","No"
"0xc881b56a2cc1910719acd2a47fba641a05ac5d0f","1.6081048484E-07","No"
"0xc91e2ff8305cc38eb9d6e12d9bfc6b9e6d55d621","2.01904854738E-07","No"
"0xc96acafe2c8ab90015f378d35044816390906f07","0.00189735675720362","No"
"0xcdf572411ddd6765f30d44db91a08a292ab9cccc","4.249712E-06","No"
"0xcf738c2377a34406e566ed261e3687a0b4cca5de","1.12E-06","No"
"0xd25e02047e76b688445ab154785f2642c6fe3f73","2.423640576876E-06","No"
"0xd3681ad243ce823bb5a9463421e10b199204b55c","1.5E-07","No"
"0xd62be38959ff773b79df51f37ce1980c7d9a5e61","1.13E-07","No"
"0xda31ed21f3dcc0573bc0cb058e8b56fde190a10d","2.842758333003E-06","No"
"0xdcb8004c94463203cd074126ef60cc226963819a","1.2331453377E-08","No"
"0xdd3e907d53bc5bd3b7985e0bd3028ba8f2c5b9bf","5.949973952277E-06","No"
"0xe517e5cf7068865d9d5ed1ceb5319a43b88349e1","1.95225852176E-06","No"
"0xe5668d7d5a8b8dbac9a8a53cfbb6efe99576d052","1.67862354628E-07","No"
"0xe8aefe39545926dcdcff0ffa5a7a65c9e045fe2b","1.40945799178E-07","No"
"0xe8c9852d88b3c79cb05e07db29d8562c31deabbe","3.2E-07","No"
"0xeb0115a24ec43751e3ade1c8e449f31817a7086b","9.999998E-12","No"
"0xeb739cdf47dc724e25270d2056d79d401530d5e1","4.392146986E-08","No"
"0xebe72c71a9383ac033a40e926880b3ffc3fbd9ca","1.050352937E-09","No"
"0xed0996284ba9537ecdc9d91372cb24328f0631e3","3.70992880378E-07","No"
"0xf4361a8fbcf6b6a2402f1a1d6c4b945e59a29934","5.6E-07","No"
"0xf4ce1a907853bcc84d763116b5c5927cdc15987d","5.92E-06","No"
"0xf5f9517a4913629b4a65a155de797402a6695809","3.3090209737E-08","No"
"0xf8864b4c99e091d83619c19eadb754df43cbd7c0","1.20310453123E-07","No"
"0xf9522c17db76476a699a65607578937153684cdf","2.7731951817E-08","No"
"0xfcdeaa68a691c33acc63e443e11d1bc29e98aad2","1.69246287236E-07","No"
"0xffe2f379b2e0f580d95e3ceeb119f819f31c2fe1","9.3717151735E-08","No"
