"HolderAddress","Balance","PendingBalanceUpdate"
"0x00c3a76523f699c84735d6acc2e2d9e33173aa63","9.377E-15","No"
"0x029d6bbd159e680d999d2541c1fe900a3917ca31","2.1388E-14","No"
"0x035792e8171197df27acedd499dd539a9bc3effa","1.19552E-13","No"
"0x040ca8da9f17f74da3fea1de34fa3cca19e639c8","2.4496E-14","No"
"0x046b4b671661358dbe6aee82de78ecba4aa87ee7","1.369834E-12","No"
"0x04d6f7b1f87e838cf5b1301b4dfc0409d73e5651","8.9497E-14","No"
"0x06737052e87392acad6b5a23c8ded8dd8e4db07d","1E-18","No"
"0x0708dde2b7dff0713f25908c9d0e94e8b56e59a5","8.6588E-14","No"
"0x070c0256a7d9401262cf5b73adc05d148fc13444","4.18946E-13","No"
"0x0984542df8a8e534c260d130373b0c3eecfdc654","4.15627E-13","No"
"0x0b5f1d677bf33aa4b9d4f8ee4e7494888e9a97b7","9.08E-16","No"
"0x0ce8df46e23e4ec4ffa959af72fac0b6375cd7b5","2.5509E-14","No"
"0x0cf0941d4289fc7f9731e5e4d558529d18deec1f","1.215273E-12","No"
"0x0d18f0bed18b4c334d1fb3e1aad877b10d687033","3E-18","No"
"0x0e463daf569bae8b297f5c0b9765bf7a9433c6f0","2.604E-15","No"
"0x1026df41a10bb5057d4f08261d907893f2d5f78b","2.340142E-12","No"
"0x1369c004ff417de88835bcdac66cba62c3e101ae","1.1465E-14","No"
"0x1671a5cfd7d0e236efb1a759e9ce460fc017b7e6","4.999999E-12","No"
"0x17dd485f7952ba295fd139468ab2faa73b932a1f","5.03308E-12","No"
"0x1d7c7e61950360fe3e160e56b9ab67918b48c5ac","1.9629E-14","No"
"0x208aeaca313446812d8e652e1f936c9d656afd94","4.6E-17","No"
"0x237f55530357c6d4af1c1bda6cca5cd0c1664f9a","1E-18","No"
"0x249fd3cec9ada525c978a65c50a8d83fbeed1638","3.6E-17","No"
"0x24d4b5d7b3bb94b23ca94c660fe146a07c53f5b5","2.27E-16","No"
"0x254c489383994ce62c012ffa2d9ab858c416d55f","1.655E-15","No"
"0x27a886862492783cb03eb0c44261809c8915ed27","8E-18","No"
"0x27eacf7161b0ea5be5ca16673224e86944719ed6","2.48418E-13","No"
"0x2bdf27e97a4410a186f52072188d888884d50831","1.85856E-13","No"
"0x2cfee78fad5c6eb93becf94bc9ed6d1d2e148d43","1.3677E-14","No"
"0x2d133c380c6cdc54f27e218be1185754ae47f8a6","7E-18","No"
"0x2d2f29167bbada4e4425a2aa1b0906b9de34985c","1.6792E-14","No"
"0x2e9af3a1f42435354846bff3681771b5e3551121","5.72E-15","No"
"0x2e9d969f8095c2ef4f4edd4214f8add97daa94b0","3.39E-16","No"
"0x2ede41fd9c6cdb9ca51b99994ec50e22cffdeed9","3.11E-15","No"
"0x2f6814b61db032a76603db1d675b56976fb319dd","2.903E-15","No"
"0x30d5e25fa78ef1378a8b6ca74a466ffe93eded56","1E-18","No"
"0x3238934316238ebbda1ffb229ec9a37bf66c5564","1.2149E-12","No"
"0x3309a431de850ec554e5f22b2d9fc0b245a2023e","8.172E-15","No"
"0x334715b51f30433c3c1ed0e38ba59482e512e1ea","7.18E-16","No"
"0x356374aac4cc6af8a42a2a2aff6b05e64c1ba88d","2.812253E-12","No"
"0x368777cf492605d569250af0aca6f0f99da7419b","5.14643E-13","No"
"0x3d41fe05d38b54333ecca2eda737c2c4fb6686e7","1.10985E-13","No"
"0x3f03409918d8a54feacf3adc09a7af8e62a41400","2.5E-17","No"
"0x3f2987251f77b2c643300247211bac000dae0fbe","2.99E-16","No"
"0x40343dfbb2306ad66819f16381ab9195013bb7db","4E-18","No"
"0x41c408e8a2febcc41705d5d027ded7b0375c334b","7.00262E-13","No"
"0x42585c791ea09d24ed5628f9051b759d45e780cb","6.9E-17","No"
"0x427b6c7038f93a0edf44c378360eec913d54c0ae","1.30439E-13","No"
"0x43c3d2a3f38583e67b587b5f9aedd6ee217be9e2","6.527E-15","No"
"0x44544bf577b29dc0409f2338fd0c69d020b92b44","1E-15","No"
"0x44ff473dc578eef2183bc9f1d41dba5359051c0e","8.24E-16","No"
"0x48be343c86e5d2233e874b23dbf123b0c2f80857","6.845E-15","No"
"0x49eaee947c2a17401da8efc21f6a560c9aa79aaf","4.367E-15","No"
"0x4a93fdd248889f87ca9ee6f4703cac321b85eaaa","1.23E-16","No"
"0x4af2e865f10802551c6b8c9da0ad6241d667b538","1.227E-15","No"
"0x4b5a0e6ba89f8dee6f9bdba96ab36de1bd4e2113","9.02836E-13","No"
"0x4cc5160627b03fedc07e08dab02417b97e7b8268","8.1564E-14","No"
"0x4cdf77828b839506bf6b6e219017b65623042400","9.822478E-12","No"
"0x4de94872b8d5a0498ccb26771c7af800ee58cd8e","1.9E-16","No"
"0x4e257ca7fe9f1b2f9224562035144463484493eb","4.6968E-14","No"
"0x500bea59133e20dc63b7e88913b30348494b84ba","2.0997E-14","No"
"0x51b0eab5e7aef09d268d20d2c2c0c147220d6535","3.4E-17","No"
"0x52c52fafb07ab70e225f7841d49a12128e1bcd03","5.49E-15","No"
"0x54572b70473521e9260285854ee2b3d3b4af54c0","1.3151E-14","No"
"0x56f1471a5ea95ddee90f91a228f3e145cfc6f5d4","6.8421E-14","No"
"0x5893d101a31ee2f7bceb3a838ca598c5783bba5c","1.1624E-14","No"
"0x58996ed9cc11c308c9b64a2a62b67317c8abd2bb","4.9005E-13","No"
"0x5a64a5ee283e1e1bacf68e93785dc7ce760920a3","9E-16","No"
"0x5a8d2abf293d139217ef8c96a8ad5e48a54ae728","3.7E-16","No"
"0x5acfd914f2dfd41f07f27407bd7936f43d0db167","2.519E-15","No"
"0x5bc57e57f09f4c6a7bb4c15875fa7f02618c76a6","1.3653E-14","No"
"0x5be0883e3a609dcef046f0efd7d0f174a638c58e","6.68E-16","No"
"0x6009627346fe72d016af8871e8b1b72ca96f7ab5","1.999E-14","No"
"0x61300de79422a18b69fd3afe4238ec5aa1df0635","1.557611E-12","No"
"0x6301d2d2b4e0ff948103bcd6571618367643fac5","1.3E-17","No"
"0x63712c2f30f48ff20beb3837578071b70cea9f07","7E-18","No"
"0x638c52fde7ad610541fbd4038369f064eef9d3f8","1.83E-16","No"
"0x64f3b9c76cc207e4d07c97baca5290d024ffa98c","4E-18","No"
"0x66b974b56eee188f9580dda3b5976a510bcd7fc9","6.599E-15","No"
"0x67648f8fd04b69a68c636074b98cc023adb89c8f","8.302E-15","No"
"0x67ab6529c20a1d8707f79f0ed82f97d8b98cdb00","1E-18","No"
"0x6959f3260ba05c2da631442a52f449b26aac20cb","1.77152E-13","No"
"0x6a65e38dd9b8e5d8f975260119d26af825feefea","8.732736E-12","No"
"0x6bc3d4638bd721213bad9df3c5278b3b2a08f574","8.734E-15","No"
"0x6e665aae9b36a77ef3f5f33c5e668f1b89620f9b","1.33651E-13","No"
"0x6f9518b5e6f9ff8782796221d0f64289cfc49649","1.31E-16","No"
"0x72153f1040bdfe6961bb73448f1af265b2bfdf0b","7E-18","No"
"0x7282b790a93357aed69896090abda21be27dd0fa","3.897E-15","No"
"0x73459ef0a33ea718211e91504e9caebec0e6e667","7.49E-16","No"
"0x735c513cc74d2eae4dd25e0d48f9a3781b2aecb0","1.4E-17","No"
"0x75200a8550c8b22cc5d312f248ea9439e2f654ee","2.91E-16","No"
"0x762d46041a01f3f6305be61faa566b94428c4ae9","1E-16","No"
"0x79813d1606e59053e443307acc0b7a46710e6541","1.4E-17","No"
"0x7a6096765797a3117fb8e1b4a9e28b5f8a1df7f6","2.918E-15","No"
"0x7a83fec92b72dbf04f5e5c51202d79e331d3f1c0","7.399833E-12","No"
"0x7b10f15ac00c57a3cb2edc2ea7d5920104649636","2.80414E-13","No"
"0x7da0419a1c47750f19440019cda780998b32268f","6.75E-16","No"
"0x81f1e947811496453dbbaea0ac2c250e056bbd96","2.953E-15","No"
"0x8209320f3624b473d7057f1fd16cd0e45c6b16b4","5.907E-15","No"
"0x839375339b030c4a8a2f8bcedd85c308d898307a","1.213E-15","No"
