"HolderAddress","Balance","PendingBalanceUpdate"
"0x0626d767435091f0254d3d73aadf877ed8e6e5bd","3.1E-17","No"
"0x081ece341dd9b9b00e25f1ff4205125d8c4017ad","4E-11","No"
"0x0b21513fb02d8efaf1a94f8acf422effed52fcbe","4.1E-17","No"
"0x0e8683819c7976cc44221b902b72a94fbf8d26e5","1E-14","No"
"0x100644244eb84b7b60627d36e454b2262edb1498","6.7E-17","No"
"0x1098150819f0c6257cd1acdfc7fba7d90af4a502","1.9E-17","No"
"0x10bf1dcb5ab7860bab1c3320163c6dddf8dcc0e4","1E-17","No"
"0x119460ecc4c538a02307e5d4f687bb83eddc5cf9","2.49E-12","No"
"0x18e1c3e1d943ca4669925c6319fe644d42448485","8.5E-12","No"
"0x18fee6e511646b8ea2e4964277574f637bc03f3b","8.5E-12","No"
"0x2080a7b3837218d0f04813bb187e617e0018eeed","1.35E-11","No"
"0x21fca51d01b5293813c04fe46f8b21e771371171","2.8E-17","No"
"0x245577d8258eec33ba1b147a20b383ede41fbe1a","9.6E-17","No"
"0x30a5bcc30232053f40aabdc2d96742935db3b007","5E-12","No"
"0x30c6475e27b64e4c96554951455a0d30371b59f8","8.5E-12","No"
"0x39c95c31f44f5af80073832ed1a2d4d3ef36f252","1.6581E-12","No"
"0x3dfe29f17be3e1430fbd3bf77d5e2b20b42a6747","1E-17","No"
"0x4208ebace6a824ac3cd3e5aa504a112981391e4a","6.4E-17","No"
"0x431f554877369c81ef35ab6ad39c004f21ec6b7e","3.57899E-11","No"
"0x498a3362fc69111aa2d93c9d1c8db516b9a1e064","3.44183E-13","No"
"0x51f6ddb5e8041fa6c45a8c5e562989e0c30116f7","5E-13","No"
"0x5260d0f9b9b5de56d66017d4b34848412fe5eb58","5E-13","No"
"0x544577660ca0c96e65af9469ba00000dae8859ba","7.14E-16","No"
"0x54b044476b7348dfc49231f7548014fd509f48a8","5E-13","No"
"0x5745b1538d345fe51c4e8c2859c9c09a5e544f99","1.94232E-13","No"
"0x58e6c080df2c08e0181f13d20dc38cd85f0c3926","3.9E-17","No"
"0x5a6892ef48f66a0e0a22b5de6e3f7c579b05c2e1","5E-13","No"
"0x5bb16b1a4c11478beae10413af3c2ff47e64c03c","1E-16","No"
"0x5defe4f60965528030ee48bba305ed017ab84998","1E-12","No"
"0x5f68e83d3f85ccb368d047009573f309613c738a","1.6E-11","No"
"0x62e4f3fc97cfa2cda6b2c9c18c11193d58a3c8e3","7.75E-16","No"
"0x6921352064dc79139dad8b5b7ed2c982ce0fda21","2E-12","No"
"0x7049e9854cc8560c77f08259112ad6ac82d86d17","3.2E-17","No"
"0x74ccd7d9f1f40417c6f7fd1151429a2c44c34e6d","1E-12","No"
"0x76fadd4b307644d7af10f497d1b8c736eea41648","1.400144E-11","No"
"0x78ca5a69b6a6850a3df7afea7b659b0113b77472","5E-14","No"
"0x79511dadf55edb9d0ed490e3fcd1ea2cbea62203","1E-16","No"
"0x7bfee91193d9df2ac0bfe90191d40f23c773c060","1E-18","No"
"0x810499a0aaaa21287d3ef452c8f4baced044f75f","1E-16","No"
"0x82fed9e527bb621c8e45675665f654f0aad0d01c","8.4E-17","No"
"0x831b98fb588e62a6858b189371555445de2da229","4.713E-12","No"
"0x87072298c500511e200617a31ac0da83be6203ba","3.5E-17","No"
"0x8ab478b9fb2c158ae0d8d2b6dc5006bb1b272683","3.5E-12","No"
"0x91bcaacf3a997e467c8a16fb8c56a80413d0c207","5E-13","No"
"0x952b02ebada16f84f64e388a2030e230334f41ed","2.29116E-11","No"
"0x96f054c430aa41601de64e435d13e2666665dbbd","8.5E-12","No"
"0x97e4eb7f19bc672805707c851ff15d5423149947","7.9E-11","No"
"0x9c9fe5d4e57045dfb45245214cfd50f8510da7ad","3.45E-12","No"
"0xa1ce7bf2ad1d836dc31082239d6a749dd2688d11","9.9E-17","No"
"0xa413b8091da27190fb8b917f12a51ebc0e334f94","8.1E-17","No"
"0xa57adce1d2fe72949e4308867d894cd7e7de0ef2","1.13E-11","No"
"0xa91edde6bdda2d1090a44c0774daac550f4a3d8a","4.85E-11","No"
"0xb788a8b4e9694e28dcbad68ffbf4eeb39f7bbeb9","5.3E-17","No"
"0xb9f3de480ef707a54b043853c1929f33cbf43359","9.7E-17","No"
"0xbd3312be9dbefce445eb0a7a6f1f0b17e2620a84","1.12E-10","No"
"0xbf45d1e4ed87d62de7b037d5a93fe0f190c35bbe","1.827E-11","No"
"0xc017a11927645c6844a9f1345b2fb3b6f2c89a4b","1.92E-11","No"
"0xc1e7ca17274c36a3358460f93ce30200916688b6","3.5E-12","No"
"0xc2cf1d6fc6951b6d53c9f1fc612edd4d95c88e5c","1.9966236E-11","No"
"0xc67c4323d4e0e7fb0326ca12fdd0f1c066f99d9e","4E-12","No"
"0xcbe3b686c1c8037892211b37f51d1d04d1bebb51","1E-12","No"
"0xd45916b0db8b2093a40c01d3cb03c1bd436814c3","5.2947E-12","No"
"0xdb3496e068161b41b1a8e073982851744df62500","7.9E-11","No"
"0xe1eb55c78800fff6fe8a78ad77d9eed5e2f499d6","9.1E-17","No"
"0xe42d15539d9f0a5adab3869369992439ccde39cc","9.5E-12","No"
"0xe7e2d3a9b6bf82efa164441f31dd017b24a21ec0","1.5E-12","No"
"0xedf3b0984b419ed6e18e100a70680ba51c7d4ecc","5.2E-12","No"
"0xf771d13ce3c98d16cf09a15917fc170d5fd3fb2a","7.532E-12","No"
