"HolderAddress","Balance","PendingBalanceUpdate"
"0xbc07f994bd3d83cddd732bc50b57a810036ddf30","9.9E-13","No"
"0x59f8b6ac56c4198d270f2077202262d334f5bb4f","8.95E-10","No"
"0x69dc97ad2dc7b179bff12a6eadabf3685d52845e","2.374002E-12","No"
"0x11e4857bb9993a50c685a79afad4e6f65d518dda","5E-12","No"
"0x1d6bb7047fd6e47a935d816297e0b4f9113ed023","7.795148E-12","No"
"0xd6ce681c0eaa01eb3e2be413e3101a7d6878de44","2.010696E-12","No"
"0x8540f80fab2afcae8d8fd6b1557b1cf943a0999b","1.69841E-12","No"
"0x2e465ddca6d2c6c81ce6f260ab13148d43e93371","1.460019712E-09","No"
"0x31cc6fe584c5157d6cb68e5547c92d728f29d7fa","3.078651E-12","No"
"0x8b1ea47e37a70e7feefc6a6945a4a7272a7934db","7.654846926E-09","No"
"0xd5cb328f07a93bdcfba6c701f2943f1b0b74f104","1.942743E-12","No"
"0xbd52889a4cb198a0e2ce36b52cdf75c4e65875a8","2.8896378E-11","No"
"0x9245e95bacfb2d0b281f990ba00b2ecb6ed899ea","9.7212E-13","No"
"0x289922fbbfbd38472d7e2a1652b33b834f7c0e49","1.6987E-14","No"
"0x54c375c481f95ba43e2cecd6ef30631f55518f57","6.5675219E-11","No"
"0xadffc7ff3e937e3d7a34e989fac05fe06cd0fc99","3.6651343E-11","No"
"0x91a90acd8791abb4c07c69abbca82822c3451584","9.488805E-12","No"
"0x24d86dc4e75979e9b57861b7a0944cdf38d73de0","1.89E-16","No"
"0xa3b7b6caf90db3a61e412fcd7c7fce050190a4fa","1.7015646E-11","No"
"0x87270bcec938a93af6719bee94c345980fbd55ca","9.512263E-12","No"
"0xe97cdd60e3806cc2c2c4beea0fc1abf65aacf145","3.748997E-11","No"
"0x62e1d5adfb8826515ddf897bf32ae397b9735208","1.93866968E-10","No"
"0x947fe999d33ef1844c4b36a573acf6cb45ba8f62","5.764881E-12","No"
"0x1c5376f1f3ac27f0f01a00e70a60110408f0e516","1.457358E-12","No"
"0xb644f5c039ed218daf95c35d07e93219b7487f97","1E-12","No"
"0x7efac8a02650396cdc162a8d989fa2edd87b2a13","1.918732E-12","No"
"0x3472ccc4a932cc5c07740781286083048eb4a5f1","1.72656123E-10","No"
"0x8b6d45b1744bc40a52bf0ed047738017b78b047f","5.185E-15","No"
"0x0bed86077447f74ecdce769a2ffbae924f2d4da9","1.89820861E-10","No"
"0xeb034756a209c6b2d2afb9811302d8c0026c64e0","1.5E-11","No"
"0x65fdaa0eb1d6753305e5812fdabf157069e2668d","7.685115E-12","No"
"0x03367522a2197247b78e3a845944cce689655788","1.949222E-12","No"
"0x05a3ae1ba5aac850b6726c6411ab490ec691c58c","1.951179E-12","No"
"0xde381bedf480a0e291e8cc9b9c101b8fa51e22de","3.8033152E-11","No"
"0xa3eac1b61d3b2c8687b174dc539039ac81e8da7f","2E-10","No"
"0x4a01562e3c37270359918530801af93570adfa9d","1.499523E-12","No"
"0xb4382ae0d90c5a6f982efa65ee38edfdac8c9f0a","1.8991483E-11","No"
"0x2716037ddfd735b84c35dfe0d8f5e6d95bc92970","1.139695E-12","No"
"0xe1e85b0e63d7b0e0a4934cf5dcdc746761503655","1E-18","No"
"0x10064f27352725cb5e30ee2e530dd0fb0dda949c","9.50869E-13","No"
"0xfa977561c213b121315d0f3676e4c4847031aca7","2.5E-12","No"
"0xbebd77a2afb8fb012204959276a0f24a3aa902fc","1.48207667E-10","No"
"0x47e33894ed60a691a5c795325dae461363863c8c","1.9002398E-11","No"
"0x369c647cf48d919e23cd64e63f7721b170fe02e2","2.002E-11","No"
"0x2f54c45a599b174b6fed8968cac7e8b3016527b6","1.25932206E-10","No"
"0x64f6b774a7aeb3b6be5d02aed62997fb8f13cdb3","1.33478E-13","No"
"0x866f334aaef32c022a73262b4f854afe1269dfd5","9.33209338E-10","No"
"0xfdbc71b434207d41ead1e9f8fff6a75309e63c53","1E-11","No"
"0xfe95ce832851f3b0aabfa4b9ad5cc8f57617eddf","1.9927571E-11","No"
"0x2d7b10f39653321b77f6a53ff13bcdfd836dda05","1.061816125E-09","No"
"0xf8e95aa8434b7f16113f3d5119a4464ddd2e8d81","7E-11","No"
"0x5ddd9b36a033eb0346ddb8c52acfd80b97378d03","1.97031E-12","No"
"0xf1a0c1723b4791638382f479c16222de4201f9c2","2.848718E-12","No"
"0x8ee6086d73e3b1a650158e1d528d10bb94795cc6","5E-13","No"
"0x7d8bf18c7ce84b3e175b339c4ca93aed1dd166f1","2.00482E-12","No"
"0x03c8060e6e38097ea6abb22242f7e2280485c438","2.967294E-12","No"
"0x5ea073c5f546e0012f8840224266718404e48ee5","2.967294E-12","No"
"0x96d2df0bd28df0ffafbce7065e03638b4cf7648b","2.967294E-12","No"
"0x12579783fbe8c2645d7a634b238da748405975a2","2.967294E-12","No"
"0xe73c4e077a9fcd02b590f8c275773401e5f95dbd","1.65927E-13","No"
"0xdf0635793e91d4f8e7426dbd9ed08471186f428d","2.001744E-12","No"
"0x4cf806792b577990ba002d56aa8b72ff57367ff5","1.7137784E-11","No"
"0x1561896754698ed252f118ba5ad370af91f0a0fc","7.1197222E-11","No"
"0x252922e223fabdb84bf87dc4a626f14a535ed44a","1E-11","No"
"0x8edd5f3cad0c1b6b2a5a36f8893c83d3df352692","2.5E-11","No"
"0x742b5352b51ac506d2e127f8da138ecfef2cfc2b","1.3782261E-11","No"
"0x9fa7fd8d9170f0dda389922e6c956800d5149924","9.72229E-13","No"
"0xc968fffb7c3dd8c870d7149f454c4730844a60e5","5.9036628E-11","No"
"0xe90d5f1d9e1634eefb1849ea6870ad9c615ede24","2.212895E-11","No"
"0xaed456b78dd0a9c248a9d0b31502188d004c91a4","1E-12","No"
"0x85e2fb7059c7ca460614a735f80a601595d998c8","5.553225E-11","No"
"0x61a5560b2c1a14f385f0e70dd3888ddbb61692e0","3.39966E-11","No"
"0xd17694efdc2519d992cbd654762e818f44c17f5d","3.8536592E-11","No"
"0xa02c2671226c89e2fb4625aba3860496e6bcf3f4","4.0953697E-10","No"
"0x9ee1313187548453e5f56576d90430bd212ec83a","1.751413E-11","No"
"0x6f70f67617ec1c396b9841e4d4bdcf6abe29a36f","3.8107E-14","No"
"0x618d78142f87a08ba92132c5e9204298ef665a55","5.7877708E-11","No"
"0x2a59f7d6ac28e31715a76e949a805b7c1ae3ace5","1.926499E-12","No"
"0x49731a2f5c7ea8201d403e9c3d00c903055fe013","3.28266E-13","No"
"0x77b6b864445fa8f5cd8c3e61a65e08a6e5dd54ef","7.212E-13","No"
"0x602b4981cbf7f6b30321c49dadc5c9009ef93580","7.16461E-13","No"
"0x13546a60569ed4f3236c28ce9e456bf9554507dd","1.6158E-14","No"
"0xca4a329399cb70e0ff984a9ad3ddd2d4000b96e6","7.54E-16","No"
"0xf64e0161806eecb20a82c86c7e6d81a8642b6f5a","1.913743E-11","No"
"0xf3ab9bcb06bf5a5dac1208ec10ed45532b7c71bc","7.7E-17","No"
"0xd148014630a0d08e5230a89cd33861ff0a912e1c","1.058016E-12","No"
"0x5d1702af86ba8879c81e94d17b3113fae117e005","1.05801E-12","No"
"0x6bd6be0d77d10ad662429b0e6454323250105abd","1.019655E-12","No"
"0x76e8d10714f5d1fb1d3f079172d28e018767dc36","5.77135E-13","No"
"0xb7d25d3f22229b8257c685ca7d269d119a8901f5","1.35795E-13","No"
"0xbe02c8033538ea3dfe99a17795fc70bfecae9ffe","5.9615E-13","No"
"0xd914608b88f87e3469d36b98ba039f923bb41c3d","6.73073E-13","No"
"0x085a39e3ec8f22f29ca3d7195564b8e363f79083","7.69025E-13","No"
"0x047f36f975bf17d79ee15d96fbadacf6c0e49dcc","8.68941E-13","No"
"0xf8ec2078744eeedd075fb9447e7a33ae168b3322","8.07065E-13","No"
"0xe9045937fb27149a9df557499ef506aa27a8eaa5","8.12555E-13","No"
"0xf77118e6f4d8a729b8ff28311226f8a17f2aad23","8.06493E-13","No"
"0x28d65ef8ee8bf8d8b7de5d92b1fad19567f0b8a9","8.06493E-13","No"
"0x43e9a7382cb7220347399af0d81e3726c6aade57","8.0618E-13","No"
"0xde157aff39f69263b8a583b11234e8afe0303f53","8.06179E-13","No"
"0x1296da9d431081837dd24795b7bb3733c82dea3b","8.06179E-13","No"
"0x6b83daba189a9498f343813377fe4eb72fd8c636","8.06165E-13","No"
"0xbf64f6567f0294b291d339906facc2c93d522c13","8.07892E-13","No"
"0x684db43a52afc20f662243e454be323bbc0e479a","8.09668E-13","No"
"0x97df9af68df57146424644dd1bc34f87349bff98","9.59321E-13","No"
"0x04c6afa4eb74e06d5258c5a96eeedc60f24c271a","9.59324E-13","No"
"0xf86e87fab6c5fece8f790fc4831dc4d077b3676f","1.016824E-12","No"
"0x9d743d24a562397c6b49b893cb3b271a61d5608d","1.074379E-12","No"
"0x765ec85fb917f9764e9a5709804c216ce9a94954","1.656861E-12","No"
"0x46b5339b94c5b931327b8cefc910acab0ed7c67f","1.074016E-12","No"
"0xf8f57b08e3805652f8e2094c76dff605bdc1d68b","1.074015E-12","No"
"0x2a2285ff56ce319856c6bd4d5851ba4adea085fb","1.093193E-12","No"
"0x1017952d3ef23de43b3a2620422439997af21d12","1.066306E-12","No"
"0x9c8214f2d914565eb6b1ec3c9ed18c383355fdd0","1.058634E-12","No"
"0x978c75c7fecc9ea1bbc1952264ce5ea13599f854","1.076258E-12","No"
"0x7043976f787511755730b6831d38418d6231e5d8","1.076314E-12","No"
"0xcdb91c9c90946deefb901380829e64de5391f055","1.095712E-12","No"
"0xa4f494d68ce203500ceb8b68f43ac48eb32a3218","5.75255E-13","No"
"0x0ce5724c6d44b9a2af34100f7901fd47fb6b3173","3.83503E-13","No"
"0xf79f4d9df4a2fd7a353804be984c5b30beae9237","5.75255E-13","No"
"0x0c12664a7c6084385b92de6e5c8288d6ff7e7496","6.13605E-13","No"
"0x04d7a4f5ef30dfb0b266376a4d08621540786c8a","6.7113E-13","No"
"0xf763cd394cffac2ca1b51723b484102330f34411","7.67005E-13","No"
"0x46d3b9d617b7602ac1fb83f624efb27a62271d74","7.66636E-13","No"
